Todd Gurley,0,RB,LAR,9200
Ezekiel Elliott,29.08,RB,DAL,9000
Christian McCaffrey,26.85,RB,CAR,8800
Julio Jones,24.41,WR,ATL,8700
DeAndre Hopkins,23.94,WR,HOU,8600
Davante Adams,24.52,WR,GB,8500
Antonio Brown,23.05,WR,PIT,8300
Michael Thomas,24.65,WR,NO,8100
JuJu Smith-Schuster,24.03,WR,PIT,8000
Tyreek Hill,21.25,WR,KC,7900
Saquon Barkley,26.48,RB,NYG,7900
Adam Thielen,22.68,WR,MIN,7800
Melvin Gordon,19.99,RB,LAC,7600
Odell Beckham Jr.,0,WR,NYG,7600
Amari Cooper,21.01,WR,DAL,7500
Stefon Diggs,20.56,WR,MIN,7400
Alvin Kamara,24.79,RB,NO,7400
Derrick Henry,19.09,RB,TEN,7300
Nick Chubb,23.76,RB,CLE,7300
Julian Edelman,18.92,WR,NE,7200
Travis Kelce,21.29,TE,KC,7200
Phillip Lindsay,15.22,RB,DEN,7200
Keenan Allen,17.27,WR,LAC,7100
Joe Mixon,19.8,RB,CIN,7100
T.Y. Hilton,21.01,WR,IND,7100
James Conner,0,RB,PIT,7000
Patrick Mahomes,24.87,QB,KC,7000
Dalvin Cook,19.23,RB,MIN,6900
Mike Evans,18.52,WR,TB,6800
Ben Roethlisberger,25.95,QB,PIT,6700
Jaylen Samuels,11.41,RB,PIT,6700
Deshaun Watson,25.29,QB,HOU,6600
Robert Woods,20.49,WR,LAR,6600
Brandin Cooks,18.04,WR,LAR,6500
Drew Brees,25.99,QB,NO,6500
Jared Goff,24.04,QB,LAR,6400
Tarik Cohen,16.52,RB,CHI,6400
Aaron Rodgers,22.58,QB,GB,6300
Mitchell Trubisky,23.95,QB,CHI,6300
Spencer Ware,0,RB,KC,6300
Corey Davis,14.16,WR,TEN,6300
Jarvis Landry,16.64,WR,CLE,6200
Cam Newton,0,QB,CAR,6200
Andrew Luck - RIP :-(,25.35,QB,IND,6200
David Johnson,18.88,RB,ARI,6200
Josh Gordon,0,WR,NE,6100
Matt Ryan,21.49,QB,ATL,6100
Russell Wilson,24.01,QB,SEA,6100
Baker Mayfield,22.79,QB,CLE,6100
Kirk Cousins,23.79,QB,MIN,6000
Leonard Fournette,16.47,RB,JAC,6000
Kenny Golladay,17.06,WR,DET,6000
George Kittle,17.6,TE,SF,6000
Tom Brady,22.59,QB,NE,5900
Aaron Jones,0,RB,GB,5900
Zach Ertz,18.64,TE,PHI,5900
Tyler Boyd,0,WR,CIN,5800
Josh Allen,20.21,QB,BUF,5800
Chris Carson,19.94,RB,SEA,5800
Dak Prescott,23.65,QB,DAL,5700
Eric Ebron,16.27,TE,IND,5700
Damien Williams,16.58,RB,KC,5700
Tyler Lockett,17.82,WR,SEA,5700
Philip Rivers,21.24,QB,LAC,5600
Rob Gronkowski,14.22,TE,NE,5600
DJ Moore,16.08,WR,CAR,5600
Marcus Mariota,18.15,QB,TEN,5500
Jameis Winston,21.65,QB,TB,5500
Doug Baldwin,18.01,WR,SEA,5500
Lamar Jackson,21.7,QB,BAL,5500
Marlon Mack,18.34,RB,IND,5500
Jamaal Williams,16.08,RB,GB,5400
Allen Robinson,13.63,WR,CHI,5400
Austin Ekeler,0,RB,LAC,5400
Alshon Jeffery,16.78,WR,PHI,5300
Case Keenum,18.31,QB,DEN,5300
Jared Cook,14.31,TE,OAK,5300
James White,15.7,RB,NE,5200
Larry Fitzgerald,14.57,WR,ARI,5200
Kerryon Johnson,0,RB,DET,5200
Josh Johnson,17.45,QB,WAS,5100
Joe Flacco,0,QB,BAL,5100
Mark Ingram,15.87,RB,NO,5100
Calvin Ridley,16.72,WR,ATL,5100
Randall Cobb,0,WR,GB,5000
Lamar Miller,0,RB,HOU,5000
Carson Wentz,0,QB,PHI,5000
Sammy Watkins,0,WR,KC,5000
Matthew Stafford,16.48,QB,DET,4900
Dede Westbrook,12.92,WR,JAC,4900
Derek Carr,18.55,QB,OAK,4900
Robert Foster,14.66,WR,BUF,4900
Sony Michel,15.04,RB,NE,4900
Sam Darnold,18.76,QB,NYJ,4900
LeSean McCoy,10.54,RB,BUF,4800
DeShone Kizer,0,QB,GB,4800
Golden Tate,12.81,WR,PHI,4800
Tevin Coleman,16.29,RB,ATL,4800
Eli Manning,18.55,QB,NYG,4800
Sterling Shepard,12.03,WR,NYG,4800
Justin Jackson,6.18,RB,LAC,4800
DaeSean Hamilton,10.56,WR,DEN,4800
DeSean Jackson,7.7,WR,TB,4700
Adam Humphries,14.29,WR,TB,4700
Demaryius Thomas,12.76,WR,HOU,4700
Nick Foles,19.57,QB,PHI,4700
